"","variable","month","values"
"94","alpha_800",1909-01-01,0.00148935762404562
"95","alpha_800",1910-01-01,0.00141586839304263
"96","alpha_800",1911-01-01,0.00127298070015268
"97","alpha_800",1912-01-01,0.00388187551096916
"98","alpha_800",1913-01-01,0.00294034824026338
"99","alpha_800",1914-01-01,0.00223693853818524
"100","alpha_800",1915-01-01,0.00178697183122774
"101","alpha_800",1916-01-01,0.00240203815223356
"102","alpha_800",1917-01-01,0.00233904932742207
"103","alpha_800",1918-01-01,0.00188196251436105
"104","alpha_800",1919-01-01,0.00285362957530796
"105","alpha_800",1920-01-01,0.00210550739680255
"106","alpha_900",1905-01-01,0.000725596940738272
"107","alpha_900",1906-01-01,0.000783672539263498
"108","alpha_900",1908-01-01,0.000242528199719328
"109","alpha_900",1909-01-01,NA
"110","alpha_900",1910-01-01,0.00299109101530947
"111","alpha_900",1911-01-01,NA
"112","alpha_900",1912-01-01,NA
"113","alpha_900",1913-01-01,NA
"114","alpha_900",1914-01-01,NA
"115","alpha_900",1915-01-01,NA
"116","alpha_900",1916-01-01,NA
"117","alpha_900",1917-01-01,NA
"118","alpha_900",1918-01-01,NA
"119","alpha_900",1919-01-01,NA
"120","alpha_900",1920-01-01,NA
"121","alpha_1200",1905-01-01,-0.000653499848782607
"122","alpha_1200",1906-01-01,-0.000704531573554758
"123","alpha_1200",1908-01-01,-0.000418533600425989
"124","alpha_1200",1909-01-01,0.000165673709510043
"125","alpha_1200",1910-01-01,0.000331949668396135
"126","alpha_1200",1911-01-01,0.000468460117229079
"127","alpha_1200",1912-01-01,-0.00127605930440216
"128","alpha_1200",1913-01-01,-0.000929071766822224
"129","alpha_1200",1914-01-01,-0.000502220252937236
"130","alpha_1200",1915-01-01,-0.000469192174334349
"131","alpha_1200",1916-01-01,-0.000694604954839312
"132","alpha_1200",1917-01-01,-0.000625392049690097
"133","alpha_1200",1918-01-01,-0.000337044461144358
"134","alpha_1200",1919-01-01,-0.000471300407059106
"135","alpha_1200",1920-01-01,0.000142791649642242
"136","alpha_1600",1905-01-01,-0.000831507824746602
"137","alpha_1600",1906-01-01,-0.00134355121319416
"138","alpha_1600",1908-01-01,-0.0011429864767781
"139","alpha_1600",1909-01-01,-0.000603178737811663
"140","alpha_1600",1910-01-01,0.000144707399679898
"141","alpha_1600",1911-01-01,-9.20860597671434e-06
"142","alpha_1600",1912-01-01,-0.00256519014231313
"143","alpha_1600",1913-01-01,-0.00162392229041161
"144","alpha_1600",1914-01-01,-0.000963102065486552
"145","alpha_1600",1915-01-01,-0.000722506207953531
"146","alpha_1600",1916-01-01,-0.00126888541258471
"147","alpha_1600",1917-01-01,-0.00120036305065113
"148","alpha_1600",1918-01-01,-0.000731394212431473
"149","alpha_1600",1919-01-01,-0.00149000812872419
"150","alpha_1600",1920-01-01,-0.000996397523850515
