Location,a.m.p.m,lambda1...m.,transmission1....100.,lambda2...m.,transmission2....100.,lambda3...m.,transmission3....100.,lambda4...m.,transmission4....100.,lambda5...m.,transmission5....100.,lambda6...m.,transmission6....100.,lambda7...m.,transmission7....100.,lambda8...m.,transmission8....100.,lambda9...m.,transmission9....100.,lambda10...m.,transmission10....100.,Date,row
Hump Mountain,NA,0.355,0.607,0.403,0.7,0.46,0.806,0.511,0.849,0.637,0.888,0.702,0.916,0.83,0.948,1.008,0.969,1.244,0.974,1.61,0.978,1917-09-12,13
Hump Mountain,NA,0.355,0.585,0.403,0.698,0.46,0.792,0.511,0.849,0.637,0.887,0.702,0.928,0.83,0.957,1.008,0.965,1.244,0.97,1.61,0.977,1917-09-13,14
Hump Mountain,NA,0.355,0.541,0.403,0.676,0.46,0.788,0.511,0.83,0.637,0.882,0.702,0.921,0.83,0.955,1.008,0.968,1.244,0.965,1.61,0.98,1917-09-18,15
Hump Mountain,NA,0.355,0.558,0.403,0.67,0.46,0.769,0.511,0.825,0.637,0.882,0.702,0.916,0.83,0.953,1.008,0.959,1.244,0.959,1.61,0.936,1917-09-26,16
Hump Mountain,NA,0.355,0.562,0.403,0.71,0.46,0.804,0.511,0.856,0.637,0.908,0.702,0.942,0.83,0.964,1.008,0.973,1.244,0.966,1.61,0.98,1917-10-02,17
Hump Mountain,NA,0.355,0.554,0.403,0.67,0.46,0.778,0.511,0.813,0.637,0.873,0.702,0.922,0.83,0.951,1.008,0.97,1.244,0.963,1.61,0.987,1917-10-03,18
Hump Mountain,NA,0.355,0.591,0.403,0.738,0.46,0.802,0.511,0.853,0.637,0.9,0.702,0.935,0.83,0.959,1.008,0.963,1.244,0.961,1.61,0.983,1917-10-05,19
Hump Mountain,NA,0.355,0.556,0.403,0.681,0.46,0.788,0.511,0.829,0.637,0.89,0.702,0.927,0.83,0.963,1.008,0.974,1.244,0.973,1.61,0.967,1917-10-10,20
Hump Mountain,NA,0.355,0.595,0.403,0.715,0.46,0.8,0.511,0.855,0.637,0.9,0.702,0.93,0.83,0.96,1.008,0.973,1.244,0.976,1.61,0.985,1917-10-13,21
Hump Mountain,NA,0.355,0.503,0.403,0.646,0.46,0.771,0.511,0.801,0.637,0.875,0.702,0.911,0.83,0.953,1.008,0.96,1.244,0.961,1.61,0.985,1917-10-14,22
Hump Mountain,NA,0.355,0.513,0.403,0.62,0.46,0.74,0.511,0.79,0.637,0.84,0.702,0.895,0.83,0.927,1.008,0.961,1.244,0.961,1.61,0.985,1917-10-15,23
Hump Mountain,NA,0.355,0.563,0.403,0.696,0.46,0.781,0.511,0.839,0.637,0.888,0.702,0.935,0.83,0.955,1.008,0.9655,1.244,0.964,1.61,0.975,1917-10-16,24
Hump Mountain,NA,0.355,0.552,0.403,0.661,0.46,0.774,0.511,0.833,0.637,0.885,0.702,0.912,0.83,0.947,1.008,0.959,1.244,0.956,1.61,0.981,1917-10-20,25
Hump Mountain,NA,0.355,0.59,0.403,0.727,0.46,0.821,0.511,0.866,0.637,0.911,0.702,0.94,0.83,0.97,1.008,0.98,1.244,0.972,1.61,0.984,1917-10-21,26
Hump Mountain,NA,0.355,0.54,0.403,0.683,0.46,0.787,0.511,0.828,0.637,0.871,0.702,0.921,0.83,0.939,1.008,0.96,1.244,0.959,1.61,0.981,1917-10-22,27
Hump Mountain,NA,0.355,0.559,0.403,0.74,0.46,0.823,0.511,0.855,0.637,0.91,0.702,0.939,0.83,0.969,1.008,0.971,1.244,0.967,1.61,0.98,1917-10-28,28
Hump Mountain,NA,0.355,0.565,0.403,0.7,0.46,0.808,0.511,0.868,0.637,0.91,0.702,0.941,0.83,0.968,1.008,0.978,1.244,0.974,1.61,0.99,1917-11-04,29
Hump Mountain,NA,0.355,0.607,0.403,0.71,0.46,0.806,0.511,0.86,0.637,0.902,0.702,0.937,0.83,0.964,1.008,0.972,1.244,0.968,1.61,0.976,1917-11-05,30
Hump Mountain,NA,0.355,0.6,0.403,0.693,0.46,0.798,0.511,0.863,0.637,0.91,0.702,0.953,0.83,0.959,1.008,0.98,1.244,0.971,1.61,0.982,1917-11-06,31
Hump Mountain,NA,0.355,0.55,0.403,0.62,0.46,0.725,0.511,0.781,0.637,0.841,0.702,0.885,0.83,0.925,1.008,0.951,1.244,0.961,1.61,0.972,1917-11-07,32
Hump Mountain,NA,0.355,0.539,0.403,0.7,0.46,0.801,0.511,0.84,0.637,0.89,0.702,0.925,0.83,0.957,1.008,0.972,1.244,0.972,1.61,0.978,1917-11-08,33
Hump Mountain,NA,0.355,0.474,0.403,0.574,0.46,0.656,0.511,0.759,0.637,0.787,0.702,0.842,0.83,0.898,1.008,0.932,1.244,0.948,1.61,0.953,1917-11-09,34
Hump Mountain,NA,0.355,0.553,0.403,0.662,0.46,0.745,0.511,0.765,0.637,0.845,0.702,0.89,0.83,0.918,1.008,0.945,1.244,0.953,1.61,0.964,1917-11-10,35
Hump Mountain,NA,0.355,0.568,0.403,0.65,0.46,0.736,0.511,0.802,0.637,0.873,0.702,0.91,0.83,0.948,1.008,0.959,1.244,0.947,1.61,0.968,1917-11-11,36
Hump Mountain,NA,0.355,0.505,0.403,0.66,0.46,0.762,0.511,0.836,0.637,0.871,0.702,0.896,0.83,0.942,1.008,0.957,1.244,0.961,1.61,0.976,1917-11-15,37
Hump Mountain,NA,0.355,0.585,0.403,0.718,0.46,0.81,0.511,0.855,0.637,0.901,0.702,0.932,0.83,0.961,1.008,0.965,1.244,0.971,1.61,0.978,1917-11-17,38
Hump Mountain,NA,0.355,0.588,0.403,0.822,0.46,0.813,0.511,0.855,0.637,0.905,0.702,0.942,0.83,0.966,1.008,0.974,1.244,0.974,1.61,0.99,1917-11-18,39
Hump Mountain,NA,0.355,0.555,0.403,0.67,0.46,0.77,0.511,0.827,0.637,0.87,0.702,0.915,0.83,0.942,1.008,0.961,1.244,0.961,1.61,0.978,1917-11-26,40
Hump Mountain,NA,0.355,0.603,0.403,0.686,0.46,0.78,0.511,0.842,0.637,0.89,0.702,0.911,0.83,0.957,1.008,0.974,1.244,0.957,1.61,0.979,1917-12-17,41
Hump Mountain,NA,0.355,0.562,0.403,0.69,0.46,0.798,0.511,0.843,0.637,0.883,0.702,0.911,0.83,0.955,1.008,0.969,1.244,0.972,1.61,0.978,1917-12-19,42
Hump Mountain,NA,0.355,0.581,0.403,0.714,0.46,0.817,0.511,0.95,0.637,0.901,0.702,0.93,0.83,0.967,1.008,0.97,1.244,0.97,1.61,0.986,1917-12-20,43
Hump Mountain,NA,0.355,0.577,0.403,0.72,0.46,0.792,0.511,0.83,0.637,0.875,0.702,0.92,0.83,0.946,1.008,0.961,1.244,0.961,1.61,0.973,1918-01-10,44
Hump Mountain,NA,0.355,0.614,0.403,0.67,0.46,0.791,0.511,0.858,0.637,0.929,0.702,0.939,0.83,0.964,1.008,0.967,1.244,0.968,1.61,0.975,1918-01-12,45
Hump Mountain,NA,0.355,0.572,0.403,0.67,0.46,0.789,0.511,0.841,0.637,0.89,0.702,0.913,0.83,0.942,1.008,0.955,1.244,0.953,1.61,0.946,1918-02-04,46
Hump Mountain,NA,0.355,0.544,0.403,0.691,0.46,0.813,0.511,0.871,0.637,0.9,0.702,0.917,0.83,0.959,1.008,0.964,1.244,0.954,1.61,0.974,1918-02-06,47
Hump Mountain,NA,0.355,0.55,0.403,0.667,0.46,0.755,0.511,0.806,0.637,0.85,0.702,0.901,0.83,0.931,1.008,0.94,1.244,0.945,1.61,0.952,1918-02-10,48
Hump Mountain,NA,0.355,0.565,0.403,0.69,0.46,0.756,0.511,0.805,0.637,0.86,0.702,0.9,0.83,0.949,1.008,0.968,1.244,0.962,1.61,0.975,1918-02-11,49
Hump Mountain,NA,0.355,0.553,0.403,0.688,0.46,0.779,0.511,0.865,0.637,0.9,0.702,0.937,0.83,0.966,1.008,0.976,1.244,0.972,1.61,0.971,1918-02-17,50
Hump Mountain,NA,0.355,0.562,0.403,0.69,0.46,0.792,0.511,0.832,0.637,0.868,0.702,0.906,0.83,0.939,1.008,0.955,1.244,0.946,1.61,0.964,1918-02-18,51
Hump Mountain,NA,0.355,0.621,0.403,0.726,0.46,0.817,0.511,0.868,0.637,0.904,0.702,0.926,0.83,0.957,1.008,0.967,1.244,0.971,1.61,0.973,1918-02-23,52
Hump Mountain,NA,0.355,0.598,0.403,0.693,0.46,0.799,0.511,0.854,0.637,0.894,0.702,0.944,0.83,0.966,1.008,0.975,1.244,0.973,1.61,0.975,1918-02-26,53
Hump Mountain,NA,0.355,0.568,0.403,0.694,0.46,0.807,0.511,0.835,0.637,0.879,0.702,0.915,0.83,0.949,1.008,0.967,1.244,0.972,1.61,0.982,1918-02-28,54
Hump Mountain,NA,0.355,0.551,0.403,0.653,0.46,0.803,0.511,0.834,0.637,0.881,0.702,0.926,0.83,0.953,1.008,0.973,1.244,0.964,1.61,0.977,1918-03-02,55
Hump Mountain,NA,0.355,0.574,0.403,0.687,0.46,0.791,0.511,0.935,0.637,0.878,0.702,0.912,0.83,0.961,1.008,0.975,1.244,0.968,1.61,0.987,1918-03-08,56
Hump Mountain,NA,0.355,0.553,0.403,0.684,0.46,0.776,0.511,0.83,0.637,0.884,0.702,0.914,0.83,0.959,1.008,0.976,1.244,0.964,1.61,0.972,1918-03-11,57
Hump Mountain,NA,0.355,0.605,0.403,0.688,0.46,0.806,0.511,0.855,0.637,0.904,0.702,0.936,0.83,0.959,1.008,0.964,1.244,0.966,1.61,0.971,1918-03-18,58
