Location,a.m.p.m,lambda1...m.,transmission1....100.,lambda2...m.,transmission2....100.,lambda3...m.,transmission3....100.,lambda4...m.,transmission4....100.,lambda5...m.,transmission5....100.,lambda6...m.,transmission6....100.,lambda7...m.,transmission7....100.,lambda8...m.,transmission8....100.,lambda9...m.,transmission9....100.,lambda10...m.,transmission10....100.,Date,row
Calama,NA,0.355,0.627,0.403,0.731,0.46,0.817,0.511,0.87,0.637,0.906,0.702,0.937,0.83,0.956,1.008,0.968,1.244,0.97,1.61,0.973,1918-08-07,11
Calama,NA,0.355,0.633,0.403,0.739,0.46,0.815,0.511,0.867,0.637,0.904,0.702,0.935,0.83,0.958,1.008,0.966,1.244,0.97,1.61,0.973,1918-08-08,12
Calama,NA,0.355,0.624,0.403,0.735,0.46,0.818,0.511,0.866,0.637,0.901,0.702,0.942,0.83,0.958,1.008,0.967,1.244,0.966,1.61,0.969,1918-08-10,13
Calama,NA,0.355,0.626,0.403,0.736,0.46,0.815,0.511,0.868,0.637,0.907,0.702,0.935,0.83,0.957,1.008,0.961,1.244,0.964,1.61,0.972,1918-08-11,14
Calama,NA,0.355,0.623,0.403,0.736,0.46,0.831,0.511,0.866,0.637,0.9,0.702,0.94,0.83,0.957,1.008,0.969,1.244,0.969,1.61,0.975,1918-08-12,15
Calama,NA,0.355,0.605,0.403,0.722,0.46,0.812,0.511,0.858,0.637,0.894,0.702,0.929,0.83,0.954,1.008,0.964,1.244,0.963,1.61,0.971,1918-08-14,16
Calama,NA,0.355,0.624,0.403,0.722,0.46,0.811,0.511,0.855,0.637,0.896,0.702,0.937,0.83,0.952,1.008,0.966,1.244,0.961,1.61,0.967,1918-08-15,17
Calama,NA,0.355,0.612,0.403,0.73,0.46,0.81,0.511,0.853,0.637,0.888,0.702,0.924,0.83,0.95,1.008,0.96,1.244,0.961,1.61,0.96,1918-08-16,18
Calama,NA,0.355,0.632,0.403,0.743,0.46,0.824,0.511,0.874,0.637,0.912,0.702,0.947,0.83,0.955,1.008,0.962,1.244,0.964,1.61,0.966,1918-08-17,19
Calama,NA,0.355,0.618,0.403,0.74,0.46,0.826,0.511,0.871,0.637,0.906,0.702,0.941,0.83,0.959,1.008,0.971,1.244,0.971,1.61,0.975,1918-08-19,20
Calama,NA,0.355,0.634,0.403,0.73,0.46,0.823,0.511,0.862,0.637,0.902,0.702,0.938,0.83,0.957,1.008,0.968,1.244,0.97,1.61,0.969,1918-08-20,21
Calama,NA,0.355,0.612,0.403,0.728,0.46,0.823,0.511,0.866,0.637,0.9,0.702,0.936,0.83,0.957,1.008,0.966,1.244,0.97,1.61,0.973,1918-08-21,22
Calama,NA,0.355,0.627,0.403,0.733,0.46,0.82,0.511,0.858,0.637,0.898,0.702,0.93,0.83,0.954,1.008,0.965,1.244,0.969,1.61,0.969,1918-08-22,23
Calama,NA,0.355,0.615,0.403,0.732,0.46,0.811,0.511,0.859,0.637,0.896,0.702,0.92,0.83,0.954,1.008,0.965,1.244,0.966,1.61,0.97,1918-08-23,24
Calama,NA,0.355,0.624,0.403,0.724,0.46,0.813,0.511,0.85,0.637,0.892,0.702,0.928,0.83,0.95,1.008,0.96,1.244,0.963,1.61,0.972,1918-08-24,25
Calama,NA,0.355,0.62,0.403,0.726,0.46,0.813,0.511,0.856,0.637,0.894,0.702,0.925,0.83,0.953,1.008,0.962,1.244,0.965,1.61,0.968,1918-08-25,26
Calama,NA,0.355,0.627,0.403,0.739,0.46,0.818,0.511,0.865,0.637,0.901,0.702,0.963,0.83,0.957,1.008,0.966,1.244,0.97,1.61,0.973,1918-08-26,27
Calama,NA,0.355,0.637,0.403,0.738,0.46,0.825,0.511,0.865,0.637,0.9,0.702,0.935,0.83,0.957,1.008,0.966,1.244,0.965,1.61,0.972,1918-08-27,28
Calama,NA,0.355,0.628,0.403,0.731,0.46,0.816,0.511,0.862,0.637,0.902,0.702,0.928,0.83,0.954,1.008,0.964,1.244,0.969,1.61,0.974,1918-08-28,29
Calama,NA,0.355,0.604,0.403,0.713,0.46,0.788,0.511,0.832,0.637,0.874,0.702,0.913,0.83,0.933,1.008,0.948,1.244,0.951,1.61,0.958,1918-08-29,30
Calama,NA,0.355,0.583,0.403,0.682,0.46,0.778,0.511,0.829,0.637,0.872,0.702,0.91,0.83,0.963,1.008,0.951,1.244,0.956,1.61,0.961,1918-08-30,31
Calama,NA,0.355,0.572,0.403,0.67,0.46,0.777,0.511,0.817,0.637,0.871,0.702,0.906,0.83,0.937,1.008,0.942,1.244,0.953,1.61,0.955,1918-08-31,32
Calama,NA,0.355,0.609,0.403,0.715,0.46,0.809,0.511,0.855,0.637,0.891,0.702,0.926,0.83,0.949,1.008,0.962,1.244,0.961,1.61,0.963,1918-09-01,33
Calama,NA,0.355,0.588,0.403,0.7,0.46,0.794,0.511,0.845,0.637,0.891,0.702,0.928,0.83,0.954,1.008,0.954,1.244,0.964,1.61,0.971,1918-09-06,34
Calama,NA,0.355,0.63,0.403,0.73,0.46,0.821,0.511,0.86,0.637,0.903,0.702,0.93,0.83,0.955,1.008,0.964,1.244,0.966,1.61,0.973,1918-09-07,35
Calama,NA,0.355,0.658,0.403,0.74,0.46,0.828,0.511,0.868,0.637,0.905,0.702,0.94,0.83,0.965,1.008,0.97,1.244,0.97,1.61,0.976,1918-09-08,36
Calama,NA,0.355,0.636,0.403,0.748,0.46,0.831,0.511,0.866,0.637,0.904,0.702,0.936,0.83,0.957,1.008,0.966,1.244,0.969,1.61,0.97,1918-09-09,37
Calama,NA,0.355,0.621,0.403,0.735,0.46,0.819,0.511,0.866,0.637,0.902,0.702,0.934,0.83,0.958,1.008,0.966,1.244,0.967,1.61,0.978,1918-09-14,38
Calama,NA,0.355,0.621,0.403,0.736,0.46,0.815,0.511,0.863,0.637,0.899,0.702,0.937,0.83,0.958,1.008,0.964,1.244,0.966,1.61,0.97,1918-09-15,39
Calama,NA,0.355,0.645,0.403,0.74,0.46,0.827,0.511,0.862,0.637,0.9,0.702,0.928,0.83,0.954,1.008,0.963,1.244,0.962,1.61,0.969,1918-09-16,40
Calama,NA,0.355,0.626,0.403,0.733,0.46,0.816,0.511,0.861,0.637,0.898,0.702,0.926,0.83,0.95,1.008,0.97,1.244,0.968,1.61,0.972,1918-09-17,41
Calama,NA,0.355,0.634,0.403,0.732,0.46,0.805,0.511,0.851,0.637,0.886,0.702,0.925,0.83,0.949,1.008,0.959,1.244,0.961,1.61,0.966,1918-09-18,42
Calama,NA,0.355,0.627,0.403,0.742,0.46,0.822,0.511,0.863,0.637,0.902,0.702,0.93,0.83,0.954,1.008,0.964,1.244,0.968,1.61,0.973,1918-09-19,43
Calama,NA,0.355,0.627,0.403,0.72,0.46,0.806,0.511,0.858,0.637,0.901,0.702,0.933,0.83,0.957,1.008,0.964,1.244,0.965,1.61,0.973,1918-09-21,44
Calama,NA,0.355,0.608,0.403,0.713,0.46,0.805,0.511,0.851,0.637,0.895,0.702,0.925,0.83,0.95,1.008,0.959,1.244,0.962,1.61,0.967,1918-09-22,45
Calama,NA,0.355,0.622,0.403,0.732,0.46,0.819,0.511,0.856,0.637,0.898,0.702,0.932,0.83,0.955,1.008,0.968,1.244,0.968,1.61,0.973,1918-09-26,46
Calama,NA,0.355,0.638,0.403,0.727,0.46,0.82,0.511,0.864,0.637,0.902,0.702,0.933,0.83,0.959,1.008,0.969,1.244,0.971,1.61,0.975,1918-09-27,47
Calama,NA,0.355,0.623,0.403,0.734,0.46,0.815,0.511,0.853,0.637,0.896,0.702,0.93,0.83,0.956,1.008,0.969,1.244,0.968,1.61,0.974,1918-09-28,48
Calama,NA,0.355,0.616,0.403,0.72,0.46,0.803,0.511,0.848,0.637,0.886,0.702,0.921,0.83,0.951,1.008,0.962,1.244,0.963,1.61,0.965,1918-09-29,49
Calama,NA,0.355,0.614,0.403,0.717,0.46,0.803,0.511,0.853,0.637,0.874,0.702,0.928,0.83,0.959,1.008,0.965,1.244,0.969,1.61,0.971,1918-09-30,50
Calama,NA,0.355,0.607,0.403,0.72,0.46,0.806,0.511,0.849,0.637,0.89,0.702,0.921,0.83,0.949,1.008,0.961,1.244,0.96,1.61,0.967,1918-10-01,51
Calama,NA,0.355,0.62,0.403,0.732,0.46,0.816,0.511,0.85,0.637,0.885,0.702,0.922,0.83,0.947,1.008,0.957,1.244,0.96,1.61,0.965,1918-10-02,52
Calama,NA,0.355,0.616,0.403,0.723,0.46,0.809,0.511,0.855,0.637,0.891,0.702,0.928,0.83,0.954,1.008,0.963,1.244,0.966,1.61,0.97,1918-10-03,53
Calama,NA,0.355,0.605,0.403,0.721,0.46,0.803,0.511,0.848,0.637,0.886,0.702,0.92,0.83,0.949,1.008,0.959,1.244,0.962,1.61,0.968,1918-10-04,54
Calama,NA,0.355,0.628,0.403,0.716,0.46,0.804,0.511,0.853,0.637,0.891,0.702,0.93,0.83,0.949,1.008,0.962,1.244,0.967,1.61,0.968,1918-10-05,55
Calama,NA,0.355,0.627,0.403,0.725,0.46,0.808,0.511,0.855,0.637,0.897,0.702,0.925,0.83,0.949,1.008,0.966,1.244,0.965,1.61,0.97,1918-10-06,56
Calama,NA,0.355,0.628,0.403,0.733,0.46,0.816,0.511,0.858,0.637,0.903,0.702,0.929,0.83,0.957,1.008,0.967,1.244,0.969,1.61,0.972,1918-10-07,57
Calama,NA,0.355,0.617,0.403,0.728,0.46,0.805,0.511,0.853,0.637,0.891,0.702,0.924,0.83,0.951,1.008,0.962,1.244,0.966,1.61,0.969,1918-10-08,58
Calama,NA,0.355,0.618,0.403,0.713,0.46,0.808,0.511,0.851,0.637,0.891,0.702,0.922,0.83,0.951,1.008,0.963,1.244,0.966,1.61,0.97,1918-10-09,59
Calama,NA,0.355,0.628,0.403,0.733,0.46,0.815,0.511,0.862,0.637,0.897,0.702,0.925,0.83,0.953,1.008,0.964,1.244,0.968,1.61,0.97,1918-10-10,60
Calama,NA,0.355,0.615,0.403,0.735,0.46,0.803,0.511,0.858,0.637,0.895,0.702,0.93,0.83,0.953,1.008,0.964,1.244,0.966,1.61,0.969,1918-10-11,61
Calama,NA,0.355,0.611,0.403,0.714,0.46,0.803,0.511,0.855,0.637,0.895,0.702,0.925,0.83,0.948,1.008,0.962,1.244,0.96,1.61,0.964,1918-10-13,62
Calama,NA,0.355,0.605,0.403,0.719,0.46,0.809,0.511,0.865,0.637,0.894,0.702,0.924,0.83,0.95,1.008,0.959,1.244,0.962,1.61,0.962,1918-10-14,63
Calama,NA,0.355,0.609,0.403,0.717,0.46,0.809,0.511,0.855,0.637,0.891,0.702,0.926,0.83,0.951,1.008,0.96,1.244,0.962,1.61,0.962,1918-10-15,64
Calama,NA,0.355,0.619,0.403,0.713,0.46,0.805,0.511,0.892,0.637,0.925,0.702,0.948,0.83,0.959,1.008,0.952,1.244,0.965,1.61,0.965,1918-10-16,65
Calama,NA,0.355,0.608,0.403,0.714,0.46,0.806,0.511,0.853,0.637,0.891,0.702,0.923,0.83,0.949,1.008,0.96,1.244,0.961,1.61,0.964,1918-10-17,66
Calama,NA,0.355,0.614,0.403,0.726,0.46,0.807,0.511,0.848,0.637,0.89,0.702,0.925,0.83,0.949,1.008,0.96,1.244,0.96,1.61,0.964,1918-10-18,67
Calama,NA,0.355,0.617,0.403,0.73,0.46,0.817,0.511,0.863,0.637,0.898,0.702,0.93,0.83,0.957,1.008,0.986,1.244,0.968,1.61,0.971,1918-10-19,68
Calama,NA,0.355,0.631,0.403,0.735,0.46,0.82,0.511,0.86,0.637,0.902,0.702,0.929,0.83,0.955,1.008,0.964,1.244,0.965,1.61,0.973,1918-10-21,69
Calama,NA,0.355,0.613,0.403,0.717,0.46,0.805,0.511,0.855,0.637,0.897,0.702,0.929,0.83,0.955,1.008,0.963,1.244,0.966,1.61,0.968,1918-10-25,70
Calama,NA,0.355,0.613,0.403,0.726,0.46,0.817,0.511,0.861,0.637,0.9,0.702,0.933,0.83,0.956,1.008,0.963,1.244,0.965,1.61,0.97,1918-10-28,71
Calama,NA,0.355,0.625,0.403,0.728,0.46,0.813,0.511,0.852,0.637,0.891,0.702,0.925,0.83,0.95,1.008,0.96,1.244,0.959,1.61,0.965,1918-10-29,72
Calama,NA,0.355,0.616,0.403,0.726,0.46,0.812,0.511,0.858,0.637,0.9,0.702,0.935,0.83,0.953,1.008,0.961,1.244,0.968,1.61,0.97,1918-10-30,73
Calama,NA,0.355,0.613,0.403,0.721,0.46,0.806,0.511,0.86,0.637,0.895,0.702,0.927,0.83,0.951,1.008,0.966,1.244,0.969,1.61,0.967,1918-10-31,74
Calama,NA,0.355,0.636,0.403,0.74,0.46,0.823,0.511,0.871,0.637,0.908,0.702,0.94,0.83,0.961,1.008,0.973,1.244,0.974,1.61,0.977,1918-11-01,75
Calama,NA,0.355,0.625,0.403,0.728,0.46,0.807,0.511,0.855,0.637,0.902,0.702,0.929,0.83,0.952,1.008,0.966,1.244,0.965,1.61,0.968,1918-11-05,76
Calama,NA,0.355,0.617,0.403,0.723,0.46,0.815,0.511,0.864,0.637,0.899,0.702,0.932,0.83,0.953,1.008,0.963,1.244,0.966,1.61,0.97,1918-11-06,77
Calama,NA,0.355,0.622,0.403,0.735,0.46,0.817,0.511,0.862,0.637,0.897,0.702,0.928,0.83,0.957,1.008,0.965,1.244,0.966,1.61,0.97,1918-11-07,78
Calama,NA,0.355,0.612,0.403,0.721,0.46,0.795,0.511,0.847,0.637,0.888,0.702,0.916,0.83,0.944,1.008,0.955,1.244,0.96,1.61,0.961,1918-11-08,79
Calama,NA,0.355,0.622,0.403,0.716,0.46,0.793,0.511,0.847,0.637,0.886,0.702,0.921,0.83,0.949,1.008,0.962,1.244,0.958,1.61,0.962,1918-11-09,80
Calama,NA,0.355,0.622,0.403,0.73,0.46,0.814,0.511,0.855,0.637,0.898,0.702,0.93,0.83,0.952,1.008,0.963,1.244,0.964,1.61,0.964,1918-11-12,81
Calama,NA,0.355,0.625,0.403,0.727,0.46,0.801,0.511,0.85,0.637,0.896,0.702,0.925,0.83,0.947,1.008,0.958,1.244,0.96,1.61,0.96,1918-11-13,82
Calama,NA,0.355,0.598,0.403,0.691,0.46,0.778,0.511,0.829,0.637,0.877,0.702,0.909,0.83,0.938,1.008,0.949,1.244,0.949,1.61,0.952,1918-11-15,83
Calama,NA,0.355,0.624,0.403,0.725,0.46,0.808,0.511,0.848,0.637,0.892,0.702,0.926,0.83,0.95,1.008,0.96,1.244,0.962,1.61,0.967,1918-11-16,84
Calama,NA,0.355,0.621,0.403,0.721,0.46,0.804,0.511,0.845,0.637,0.887,0.702,0.922,0.83,0.946,1.008,0.955,1.244,0.957,1.61,0.963,1918-11-17,85
Calama,NA,0.355,0.627,0.403,0.726,0.46,0.811,0.511,0.854,0.637,0.893,0.702,0.924,0.83,0.948,1.008,0.96,1.244,0.961,1.61,0.967,1918-11-18,86
Calama,NA,0.355,0.605,0.403,0.708,0.46,0.79,0.511,0.839,0.637,0.881,0.702,0.906,0.83,0.938,1.008,0.949,1.244,0.951,1.61,0.954,1918-11-19,87
Calama,NA,0.355,0.578,0.403,0.677,0.46,0.761,0.511,0.801,0.637,0.844,0.702,0.871,0.83,0.895,1.008,0.91,1.244,0.915,1.61,0.916,1918-11-20,88
Calama,NA,0.355,0.589,0.403,0.692,0.46,0.781,0.511,0.831,0.637,0.873,0.702,0.907,0.83,0.929,1.008,0.938,1.244,0.939,1.61,0.94,1918-11-21,89
Calama,NA,0.355,0.603,0.403,0.703,0.46,0.797,0.511,0.84,0.637,0.883,0.702,0.91,0.83,0.939,1.008,0.949,1.244,0.951,1.61,0.955,1918-11-22,90
Calama,NA,0.355,0.598,0.403,0.703,0.46,0.791,0.511,0.827,0.637,0.875,0.702,0.902,0.83,0.931,1.008,0.944,1.244,0.949,1.61,0.948,1918-11-23,91
Calama,NA,0.355,0.583,0.403,0.69,0.46,0.772,0.511,0.822,0.637,0.868,0.702,0.897,0.83,0.924,1.008,0.938,1.244,0.939,1.61,0.946,1918-11-25,92
Calama,NA,0.355,0.597,0.403,0.702,0.46,0.785,0.511,0.829,0.637,0.871,0.702,0.904,0.83,0.929,1.008,0.939,1.244,0.944,1.61,0.945,1918-11-26,93
Calama,NA,0.355,0.618,0.403,0.713,0.46,0.8,0.511,0.848,0.637,0.886,0.702,0.923,0.83,0.951,1.008,0.959,1.244,0.958,1.61,0.962,1918-11-27,94
Calama,NA,0.355,0.618,0.403,0.726,0.46,0.809,0.511,0.848,0.637,0.896,0.702,0.925,0.83,0.949,1.008,0.959,1.244,0.961,1.61,0.965,1918-11-28,95
Calama,NA,0.355,0.603,0.403,0.714,0.46,0.798,0.511,0.848,0.637,0.893,0.702,0.921,0.83,0.951,1.008,0.958,1.244,0.958,1.61,0.965,1918-11-29,96
Calama,NA,0.355,0.619,0.403,0.732,0.46,0.815,0.511,0.862,0.637,0.902,0.702,0.929,0.83,0.949,1.008,0.958,1.244,0.958,1.61,0.965,1918-11-30,97
Calama,NA,0.355,0.627,0.403,0.72,0.46,0.803,0.511,0.853,0.637,0.892,0.702,0.926,0.83,0.947,1.008,0.956,1.244,0.961,1.61,0.965,1918-12-01,98
Calama,NA,0.355,0.621,0.403,0.722,0.46,0.808,0.511,0.853,0.637,0.895,0.702,0.928,0.83,0.949,1.008,0.965,1.244,0.966,1.61,0.969,1918-12-02,99
Calama,NA,0.355,0.61,0.403,0.724,0.46,0.808,0.511,0.859,0.637,0.899,0.702,0.928,0.83,0.954,1.008,0.965,1.244,0.966,1.61,0.966,1918-12-03,100
Calama,NA,0.355,0.618,0.403,0.722,0.46,0.812,0.511,0.854,0.637,0.896,0.702,0.925,0.83,0.953,1.008,0.962,1.244,0.961,1.61,0.969,1918-12-04,101
Calama,NA,0.355,0.598,0.403,0.71,0.46,0.803,0.511,0.833,0.637,0.884,0.702,0.914,0.83,0.943,1.008,0.947,1.244,0.949,1.61,0.954,1918-12-05,102
Calama,NA,0.355,0.589,0.403,0.706,0.46,0.778,0.511,0.827,0.637,0.873,0.702,0.91,0.83,0.937,1.008,0.944,1.244,0.952,1.61,0.955,1918-12-06,103
Calama,NA,0.355,0.605,0.403,0.701,0.46,0.793,0.511,0.832,0.637,0.878,0.702,0.91,0.83,0.936,1.008,0.947,1.244,0.951,1.61,0.952,1918-12-07,104
Calama,NA,0.355,0.588,0.403,0.696,0.46,0.784,0.511,0.828,0.637,0.872,0.702,0.903,0.83,0.928,1.008,0.943,1.244,0.943,1.61,0.949,1918-12-08,105
Calama,NA,0.355,0.58,0.403,0.694,0.46,0.788,0.511,0.832,0.637,0.881,0.702,0.909,0.83,0.934,1.008,0.944,1.244,0.949,1.61,0.95,1918-12-09,106
Calama,NA,0.355,0.61,0.403,0.713,0.46,0.8,0.511,0.844,0.637,0.885,0.702,0.912,0.83,0.942,1.008,0.952,1.244,0.953,1.61,0.958,1918-12-10,107
Calama,NA,0.355,0.62,0.403,0.722,0.46,0.805,0.511,0.855,0.637,0.892,0.702,0.924,0.83,0.953,1.008,0.961,1.244,0.962,1.61,0.946,1918-12-11,108
Calama,NA,0.355,0.612,0.403,0.722,0.46,0.808,0.511,0.852,0.637,0.895,0.702,0.923,0.83,0.95,1.008,0.958,1.244,0.961,1.61,0.966,1918-12-12,109
Calama,NA,0.355,0.576,0.403,0.686,0.46,0.778,0.511,0.83,0.637,0.871,0.702,0.91,0.83,0.938,1.008,0.943,1.244,0.945,1.61,0.953,1918-12-13,110
Calama,NA,0.355,0.6,0.403,0.702,0.46,0.792,0.511,0.841,0.637,0.891,0.702,0.982,0.83,0.95,1.008,0.967,1.244,0.97,1.61,0.974,1918-12-22,111
Calama,NA,0.355,0.608,0.403,0.713,0.46,0.802,0.511,0.851,0.637,0.896,0.702,0.928,0.83,0.954,1.008,0.971,1.244,0.969,1.61,0.973,1918-12-23,112
Calama,NA,0.355,0.592,0.403,0.691,0.46,0.788,0.511,0.834,0.637,0.886,0.702,0.922,0.83,0.951,1.008,0.965,1.244,0.97,1.61,0.97,1918-12-26,113
Calama,NA,0.355,0.609,0.403,0.718,0.46,0.812,0.511,0.852,0.637,0.896,0.702,0.928,0.83,0.96,1.008,0.972,1.244,0.971,1.61,0.975,1918-12-27,114
Calama,NA,0.355,0.618,0.403,0.729,0.46,0.821,0.511,0.857,0.637,0.905,0.702,0.934,0.83,0.961,1.008,0.973,1.244,0.973,1.61,0.98,1918-12-28,115
Calama,NA,0.355,0.603,0.403,0.709,0.46,0.812,0.511,0.858,0.637,0.898,0.702,0.933,0.83,0.958,1.008,0.972,1.244,0.975,1.61,0.979,1918-12-31,116
Calama,NA,0.355,0.605,0.403,0.716,0.46,0.808,0.511,0.854,0.637,0.898,0.702,0.928,0.83,0.956,1.008,0.967,1.244,0.968,1.61,0.971,1919-01-01,117
Calama,NA,0.355,0.608,0.403,0.715,0.46,0.804,0.511,0.853,0.637,0.899,0.702,0.931,0.83,0.953,1.008,0.965,1.244,0.97,1.61,0.974,1919-01-02,118
Calama,NA,0.355,0.602,0.403,0.713,0.46,0.803,0.511,0.848,0.637,0.896,0.702,0.924,0.83,0.951,1.008,0.96,1.244,0.962,1.61,0.969,1919-01-03,119
Calama,NA,0.355,0.594,0.403,0.702,0.46,0.801,0.511,0.84,0.637,0.886,0.702,0.915,0.83,0.94,1.008,0.959,1.244,0.96,1.61,0.962,1919-01-06,120
Calama,NA,0.355,0.587,0.403,0.707,0.46,0.798,0.511,0.845,0.637,0.897,0.702,0.93,0.83,0.951,1.008,0.967,1.244,0.965,1.61,0.968,1919-01-08,121
Calama,NA,0.355,0.595,0.403,0.712,0.46,0.806,0.511,0.855,0.637,0.899,0.702,0.934,0.83,0.959,1.008,0.972,1.244,0.973,1.61,0.98,1919-01-11,122
Calama,NA,0.355,0.623,0.403,0.744,0.46,0.833,0.511,0.875,0.637,0.921,0.702,0.95,0.83,0.973,1.008,0.983,1.244,0.983,1.61,0.986,1919-01-12,123
Calama,NA,0.355,0.622,0.403,0.738,0.46,0.818,0.511,0.868,0.637,0.901,0.702,0.939,0.83,0.958,1.008,0.97,1.244,0.969,1.61,0.975,1919-01-14,124
Calama,NA,0.355,0.585,0.403,0.696,0.46,0.787,0.511,0.841,0.637,0.889,0.702,0.921,0.83,0.947,1.008,0.956,1.244,0.965,1.61,0.968,1919-01-16,125
Calama,NA,0.355,0.607,0.403,0.714,0.46,0.804,0.511,0.851,0.637,0.895,0.702,0.927,0.83,0.954,1.008,0.962,1.244,0.959,1.61,0.961,1919-01-17,126
Calama,NA,0.355,0.608,0.403,0.721,0.46,0.817,0.511,0.858,0.637,0.904,0.702,0.934,0.83,0.959,1.008,0.967,1.244,0.971,1.61,0.97,1919-01-18,127
Calama,NA,0.355,0.602,0.403,0.731,0.46,0.825,0.511,0.873,0.637,0.914,0.702,0.944,0.83,0.966,1.008,0.982,1.244,0.98,1.61,0.981,1919-01-19,128
Calama,NA,0.355,0.598,0.403,0.71,0.46,0.805,0.511,0.859,0.637,0.901,0.702,0.934,0.83,0.962,1.008,0.974,1.244,0.972,1.61,0.975,1919-01-20,129
Calama,NA,0.355,0.598,0.403,0.723,0.46,0.805,0.511,0.854,0.637,0.895,0.702,0.93,0.83,0.961,1.008,0.972,1.244,0.973,1.61,0.968,1919-01-21,130
Calama,NA,0.355,0.596,0.403,0.714,0.46,0.801,0.511,0.852,0.637,0.898,0.702,0.931,0.83,0.956,1.008,0.969,1.244,0.968,1.61,0.976,1919-01-22,131
Calama,NA,0.355,0.593,0.403,0.711,0.46,0.805,0.511,0.847,0.637,0.896,0.702,0.923,0.83,0.949,1.008,0.961,1.244,0.963,1.61,0.969,1919-01-23,132
Calama,NA,0.355,0.599,0.403,0.7,0.46,0.791,0.511,0.836,0.637,0.888,0.702,0.921,0.83,0.949,1.008,0.959,1.244,0.965,1.61,0.965,1919-01-24,133
Calama,NA,0.355,0.555,0.403,0.681,0.46,0.769,0.511,0.822,0.637,0.872,0.702,0.905,0.83,0.933,1.008,0.951,1.244,0.953,1.61,0.959,1919-01-25,134
Calama,NA,0.355,0.6,0.403,0.722,0.46,0.815,0.511,0.857,0.637,0.9,0.702,0.933,0.83,0.958,1.008,0.976,1.244,0.972,1.61,0.978,1919-01-29,135
Calama,NA,0.355,0.608,0.403,0.726,0.46,0.812,0.511,0.861,0.637,0.9,0.702,0.935,0.83,0.958,1.008,0.969,1.244,0.974,1.61,0.969,1919-02-03,136
Calama,NA,0.355,0.59,0.403,0.701,0.46,0.801,0.511,0.852,0.637,0.897,0.702,0.932,0.83,0.956,1.008,0.971,1.244,0.971,1.61,0.974,1919-02-06,137
Calama,NA,0.355,0.617,0.403,0.722,0.46,0.815,0.511,0.863,0.637,0.909,0.702,0.94,0.83,0.958,1.008,0.968,1.244,0.967,1.61,0.975,1919-02-07,138
Calama,NA,0.355,0.605,0.403,0.713,0.46,0.808,0.511,0.861,0.637,0.901,0.702,0.929,0.83,0.958,1.008,0.971,1.244,0.974,1.61,0.977,1919-02-08,139
Calama,NA,0.355,0.611,0.403,0.715,0.46,0.807,0.511,0.856,0.637,0.901,0.702,0.929,0.83,0.953,1.008,0.964,1.244,0.966,1.61,0.964,1919-02-09,140
Calama,NA,0.355,0.602,0.403,0.714,0.46,0.807,0.511,0.852,0.637,0.89,0.702,0.924,0.83,0.952,1.008,0.966,1.244,0.969,1.61,0.97,1919-02-10,141
Calama,NA,0.355,0.619,0.403,0.731,0.46,0.822,0.511,0.872,0.637,0.91,0.702,0.94,0.83,0.963,1.008,0.976,1.244,0.978,1.61,0.978,1919-02-11,142
